CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TAB_X_SCR_RISCO_DEVEDOR_AA;TAB_X_SCR_RISCO_DEVEDOR_A;TAB_X_SCR_RISCO_DEVEDOR_B;TAB_X_SCR_RISCO_DEVEDOR_C;TAB_X_SCR_RISCO_DEVEDOR_D;TAB_X_SCR_RISCO_DEVEDOR_E;TAB_X_SCR_RISCO_DEVEDOR_F;TAB_X_SCR_RISCO_DEVEDOR_G;TAB_X_SCR_RISCO_DEVEDOR_H;TAB_X_SCR_RISCO_OPER_AA;TAB_X_SCR_RISCO_OPER_A;TAB_X_SCR_RISCO_OPER_B;TAB_X_SCR_RISCO_OPER_C;TAB_X_SCR_RISCO_OPER_D;TAB_X_SCR_RISCO_OPER_E;TAB_X_SCR_RISCO_OPER_F;TAB_X_SCR_RISCO_OPER_G;TAB_X_SCR_RISCO_OPER_H;TAB_X_DEBITO_TRIBUT
05.754.060/0001-13;CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II - RESP LIMITADA;2024-11-30;1553052956.97;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1553052956.97;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
06.018.364/0001-85;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - FIDC PREMIUM;2024-11-30;0.00;0.00;338162090.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;338162090.40;0.00
06.081.379/0001-98;KOL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11550027.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11550027.24;0.00
06.182.371/0001-18;FOR-TE FIDC;2024-11-30;834443695.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;834443695.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;121827463.18
07.084.253/0001-30;MULTI INFRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;14578655.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1003791.82;14578655.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1003791.82;17312414.78
07.383.363/0001-00;RIVO FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS;2024-11-30;63489156.30;10909625.00;20012471.60;6742394.30;696274.10;1745722.70;141691.40;303914.00;3640414.20;63489156.30;10909625.00;20012471.60;6742394.30;696274.10;1745722.70;141691.40;303914.00;3640414.20;0.00
07.507.899/0001-82;GP FIDC FCVS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7419521.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
07.727.002/0001-26;FIDC PCG - BRASIL MULTICARTEIRA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5338011139.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5338011139.22;561349852.86
07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2024-11-30;219379137.42;0.00;0.00;52619695.88;5411928.75;8413261.58;0.00;5924803.42;3755862.34;219379137.42;0.00;0.00;52619695.88;5411928.75;8413261.58;0.00;5924803.42;3755862.34;210518632.12
07.738.319/0001-68;SP RECEBÍVEIS PREMIUM I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  MULTISSEGMENTOS;2024-11-30;19353336.62;0.00;0.00;0.00;0.00;4490.00;0.00;0.00;25638.45;19353336.62;0.00;0.00;0.00;0.00;4490.00;0.00;0.00;25638.45;19383465.07
07.742.454/0001-87;GP - FIDC FCVS 2;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;84123896.73;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
08.093.745/0001-54;V1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTICARTEIRA OUTROS;2024-11-30;2596109.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2596109.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
08.270.249/0001-29;MACCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;43575897.31;0.00;0.00;2479343.93;0.00;4918112.94;0.00;0.00;4473652.91;43575897.31;0.00;0.00;2479343.93;0.00;4918112.94;0.00;0.00;4473652.91;39833105.29
08.315.045/0001-67;HOPE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS;2024-11-30;160871585.87;0.00;0.00;20994114.25;1713403.84;348794.61;0.00;2179479.51;1048335.39;160871585.87;0.00;0.00;20994114.25;1713403.84;348794.61;0.00;2179479.51;1048335.39;113090137.64
08.417.544/0001-65;CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;916945228.13;0.00;16627989.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
08.611.414/0001-69;V3 FIDC MULTICARTEIRA - NP;2024-11-30;668855316.41;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;668855316.41;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
08.621.199/0001-87;FAMCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL NÃO PADRONIZADOS;2024-11-30;0.00;84039109.80;10744318.00;3246352.60;59727.80;566936.10;4175.50;254999.20;16655205.60;0.00;84039109.80;10744318.00;3246352.60;59727.80;566936.10;4175.50;254999.20;16655205.60;0.00
08.632.394/0001-02;RED - FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL LP - RESPONSABILIDADE  LIMITADA;2024-11-30;703108298.00;27321191.70;86697324.30;375591.10;1856408.30;1352180.10;0.00;164600.40;15095013.90;703108298.00;27321191.70;86697324.30;375591.10;1856408.30;1352180.10;0.00;164600.40;15095013.90;0.00
08.654.210/0001-05;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP;2024-11-30;210702442.34;0.00;0.00;12256565.31;0.00;2286303.69;1507375.22;0.00;10802838.79;210702442.34;0.00;0.00;12256565.31;0.00;2286303.69;1507375.22;0.00;10802838.79;171074773.57
08.661.352/0001-08;VVMB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
08.678.936/0001-88;SIFRA PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS;2024-11-30;747986024.94;0.00;0.00;43078875.19;0.00;32930179.47;1092640.50;0.00;22431910.12;747986024.94;0.00;0.00;43078875.19;0.00;32930179.47;1092640.50;0.00;22431910.12;499487380.68
